treatment,Yeast,cage,day,EggsLaid,Av/1F
5,N,1,4,0,0
6,N,1,4,1,0.2
5,N,2,4,3,0.6
6,N,2,4,2,0.4
5,N,3,4,3,0.6
6,N,3,4,2,0.4
5,N,4,4,1,0.2
6,N,4,4,2,0.4
7,Y,1,4,2,0.4
8,Y,1,4,4,0.8
7,Y,2,4,4,0.8
8,Y,2,4,8,1.6
7,Y,3,4,1,0.2
8,Y,3,4,20,4
7,Y,4,4,3,0.6
8,Y,4,4,10,2
5,N,1,6,1,0.1
6,N,1,6,6,0.6
5,N,2,6,2,0.2
6,N,2,6,3,0.3
5,N,3,6,4,0.4
6,N,3,6,6,0.6
5,N,4,6,6,0.6
6,N,4,6,3,0.3
7,Y,1,6,8,0.8
8,Y,1,6,7,0.7
7,Y,2,6,8,0.8
8,Y,2,6,6,0.6
7,Y,3,6,4,0.4
8,Y,3,6,6,0.6
7,Y,4,6,7,0.7
8,Y,4,6,6,0.6
5,N,1,8,4,0.4
6,N,1,8,3,0.3
5,N,2,8,4,0.4
6,N,2,8,3,0.3
5,N,3,8,5,0.5
6,N,3,8,6,0.6
5,N,4,8,3,0.3
6,N,4,8,6,0.6
7,Y,1,8,6,0.6
8,Y,1,8,6,0.6
7,Y,2,8,5,0.5
8,Y,2,8,7,0.7
7,Y,3,8,4,0.4
8,Y,3,8,8,0.8
7,Y,4,8,8,0.8
8,Y,4,8,8,0.8
5,N,1,10,3,0.3
6,N,1,10,2,0.2
5,N,2,10,7,0.7
6,N,2,10,4,0.4
5,N,3,10,8,0.8
6,N,3,10,5,0.5
5,N,4,10,3,0.3
6,N,4,10,6,0.6
7,Y,1,10,7,0.7
8,Y,1,10,7,0.7
7,Y,2,10,6,0.6
8,Y,2,10,7,0.7
7,Y,3,10,8,0.8
8,Y,3,10,6,0.6
7,Y,4,10,6,0.6
8,Y,4,10,10,1
5,N,1,12,4,0.4
6,N,1,12,6,0.6
5,N,2,12,3,0.3
6,N,2,12,5,0.5
5,N,3,12,5,0.5
6,N,3,12,6,0.6
5,N,4,12,3,0.3
6,N,4,12,5,0.5
7,Y,1,12,6,0.6
8,Y,1,12,13,1.3
7,Y,2,12,7,0.7
8,Y,2,12,11,1.1
7,Y,3,12,9,0.9
8,Y,3,12,8,0.8
7,Y,4,12,10,1
8,Y,4,12,10,1
5,N,1,14,5,0.5
6,N,1,14,6,0.6
5,N,2,14,4,0.4
6,N,2,14,7,0.7
5,N,3,14,4,0.4
6,N,3,14,10,1
5,N,4,14,8,0.8
6,N,4,14,4,0.4
7,Y,1,14,7,0.7
8,Y,1,14,10,1
7,Y,2,14,9,0.9
8,Y,2,14,7,0.7
7,Y,3,14,18,1.8
8,Y,3,14,7,0.7
7,Y,4,14,12,1.2
8,Y,4,14,10,1
5,N,1,16,5,0.5
6,N,1,16,2,0.2
5,N,2,16,8,0.8
6,N,2,16,2,0.2
5,N,3,16,5,0.5
6,N,3,16,3,0.3
5,N,4,16,3,0.3
6,N,4,16,4,0.4
7,Y,1,16,6,0.6
8,Y,1,16,6,0.6
7,Y,2,16,5,0.5
8,Y,2,16,9,0.9
7,Y,3,16,10,1
8,Y,3,16,9,0.9
7,Y,4,16,10,1
8,Y,4,16,8,0.8
5,N,1,18,4,0.4
6,N,1,18,8,0.8
5,N,2,18,6,0.6
6,N,2,18,6,0.6
5,N,3,18,3,0.3
6,N,3,18,4,0.4
5,N,4,18,3,0.3
6,N,4,18,6,0.6
7,Y,1,18,6,0.6
8,Y,1,18,9,0.9
7,Y,2,18,10,1
8,Y,2,18,6,0.6
7,Y,3,18,10,1
8,Y,3,18,8,0.8
7,Y,4,18,5,0.5
8,Y,4,18,7,0.7
